Zip Code,Total Population Age 16+,Ages 16-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-44,Ages 45-54,Ages 55-59,Ages 60-64,Ages 65-74,Ages 75+,Total Population,Make,Fully Vaccinated,Partially Vaccinated,1_plus_dose,booster_recip_count,%_Employed,above_average,over_75_population
92411,18213,1580,2003,2173,1633,3046,2910,1133,951,1593,1191,25650,VOLVO,0.567364,0.054278,0.621642,2779.0,0.7100584795321637,0,0.046432748538011694
92501,17154,1435,1628,2224,1858,3021,2747,1266,935,1360,680,21590,VOLVO,0.726611,0.063007,0.789618,4376.0,0.7945345067160723,1,0.031496062992125984
92503,73298,5654,6821,7976,7004,12950,12792,5640,4541,6070,3850,95551,WORKHORSE,0.601858,0.046444,0.648302,15919.0,0.7671086644828417,0,0.04029261860158449
92504,47426,4571,5437,4745,4074,7240,7364,3407,3171,4141,3276,59896,WORKHORSE,0.56143,0.042927,0.604357,10115.0,0.7918057967143048,0,0.054694804327501005
92505,41871,3769,5037,5144,4243,6986,6480,2742,2312,2920,2238,53282,WORKHORSE,0.571007,0.045697,0.616704,8274.0,0.7858376187080065,0,0.04200292781802485
92506,37004,2264,2480,3642,3308,5318,6289,2895,2970,4759,3079,46241,WORKHORSE,0.653849,0.043693,0.697542,12556.0,0.8002422092947817,0,0.06658593023507277
92507,49283,7393,10146,6944,4956,5768,4870,2485,2282,2661,1778,59152,WORKHORSE,0.59794,0.052884,0.650824,9880.0,0.8331586421422775,0,0.03005815526102245
92508,29487,2596,2896,2865,2411,5106,5891,2432,1637,2089,1564,38428,WORKHORSE,0.585048,0.037793,0.622841,7884.0,0.7673311127303009,0,0.04069948995524097
92509,60904,5341,6987,6664,5866,10365,10240,4102,3908,4464,2967,81383,WORKHORSE,0.57977,0.049924,0.629694,10997.0,0.7483626801666196,0,0.036457245370654805
92518,762,43,23,17,50,122,57,8,19,79,344,1021,VOLVO,0.690608,0.075138,0.765746,264.0,0.7463271302644466,1,0.33692458374143
92530,42595,3761,4029,4709,4614,7220,7204,3470,2676,3039,1873,58184,WORKHORSE,0.548632,0.046859,0.595491,7763.0,0.7320741097208855,0,0.032190980338237314
92532,18394,1493,1600,1661,2152,4608,2712,1569,879,955,765,25923,VOLVO,0.601752,0.04582,0.647572,4354.0,0.7095629363885353,0,0.029510473324846662
92536,2361,105,100,115,296,280,291,402,137,429,206,3076,VOLKSWAGEN,0.533402,0.079137,0.612539,578.0,0.767555266579974,0,0.06697009102730819
92539,3725,191,301,292,100,487,668,284,451,554,397,4557,VOLKSWAGEN,0.349966,0.058366,0.408332,426.0,0.8174237436910248,0,0.08711871845512399
92543,28247,2305,2256,2608,1860,4363,3889,1955,2537,3528,2946,38314,VOLVO,0.507368,0.077032,0.5844,4861.0,0.7372500913504202,0,0.07689095369838701
92544,38232,2640,3389,3498,3116,5763,6280,3015,3186,4345,3000,49923,WORKHORSE,0.464847,0.050015,0.514862,5969.0,0.7658193618171985,0,0.06009254251547383
92545,33194,2242,2439,2036,2173,4190,3719,2294,2567,5661,5873,41879,WORKHORSE,0.572659,0.058374,0.631033,8153.0,0.7926168246615248,0,0.1402373504620454
92548,5841,540,402,635,306,1229,882,302,337,678,530,7859,VOLKSWAGEN,0.444033,0.045075,0.489108,799.0,0.7432243287950121,0,0.06743860542053697
92549,2242,137,94,103,68,192,301,379,296,480,192,2517,VOLVO,0.989842,0.108492,1.0,1189.0,0.8907429479539134,1,0.07628128724672228
92551,25325,2079,3038,2946,2740,4695,4068,1572,1406,1821,960,34011,VOLVO,0.565618,0.045535,0.611153,4324.0,0.7446120372820558,0,0.0282261621240187
92553,56297,5694,7236,6412,5538,10234,8604,3946,3128,3444,2061,76102,VOLVO,0.560946,0.058193,0.619139,8974.0,0.7397571680113532,0,0.027082074058500435
92555,33946,2879,3749,3366,3153,6203,6214,2365,1930,2809,1278,44452,VOLVO,0.605463,0.044805,0.650268,7763.0,0.7636551786196346,0,0.02875011248087825
92557,41209,2832,4901,4275,5074,6084,6622,3361,2536,3613,1911,53406,WORKHORSE,0.598841,0.045873,0.644714,8788.0,0.7716174212635284,0,0.035782496348724865
92561,1279,48,3,62,50,104,202,138,231,298,143,1462,Unk,0.546703,0.065247,0.61195,367.0,0.874829001367989,0,0.09781121751025992
92562,49289,3676,3976,4236,3486,7816,8653,4720,3134,5023,4569,64286,WORKHORSE,0.55224,0.049864,0.602104,12175.0,0.7667143701583549,0,0.07107301745325577
92563,50537,4673,4231,5196,4775,9890,8936,3585,2193,4053,3005,69469,WORKHORSE,0.601405,0.059551,0.660956,12986.0,0.7274755646403431,0,0.04325670442931379
92567,8041,761,867,908,771,1000,1395,576,510,759,494,10648,VOLKSWAGEN,0.479389,0.046451,0.52584,1236.0,0.7551652892561983,0,0.046393688955672426
92570,45205,4118,5425,4470,4151,7153,7688,3306,2900,3505,2489,60686,WORKHORSE,0.495383,0.053963,0.549346,6050.0,0.7448999769304288,0,0.04101440200375704
92571,40894,4081,4619,4443,4269,7935,7536,2545,1836,2302,1328,57622,VOLVO,0.575575,0.052518,0.628093,6627.0,0.7096942140154802,0,0.023046752976293775
92582,12165,1027,1294,1482,1097,2300,2351,860,429,811,514,17219,VOLKSWAGEN,0.647919,0.058723,0.706642,2388.0,0.7064870201521575,0,0.029850746268656716
92583,25238,2345,2427,2193,1835,4095,3889,1883,1953,2903,1715,32697,WORKHORSE,0.501409,0.056637,0.558046,4075.0,0.7718750955745175,0,0.0524512952258617
92584,40505,3126,3021,4852,3744,7374,6632,2934,2444,3535,2843,54235,WORKHORSE,0.564029,0.051223,0.615252,9541.0,0.7468424449156449,0,0.052420023969761226
92585,17264,1710,1793,1379,1406,2982,2754,1445,986,1365,1444,21907,WORKHORSE,0.622234,0.060163,0.682397,3830.0,0.788058611402748,0,0.06591500433651344
92586,17124,678,710,649,918,1187,1703,1618,1875,3315,4471,19472,WORKHORSE,0.717416,0.066901,0.784317,5844.0,0.8794165981922761,1,0.22961175020542318
92587,13423,666,713,1540,1104,2062,2352,1014,1420,1509,1043,17237,WORKHORSE,0.489362,0.04199,0.531352,2704.0,0.7787317978766607,0,0.06050936937982247
92590,4269,372,716,329,335,458,750,428,258,354,269,5154,VOLKSWAGEN,0.498777,0.06199,0.560767,816.0,0.8282887077997672,0,0.05219247186651145
92591,31720,2136,2712,3039,3008,5868,5135,2817,2317,3037,1651,41609,WORKHORSE,0.590754,0.062202,0.652956,8178.0,0.7623350717392872,0,0.039678915619217
92592,62969,5373,4334,4326,5407,11367,13099,5600,4295,5903,3265,84930,WORKHORSE,0.540974,0.059575,0.600549,15752.0,0.7414223478158484,0,0.03844342399623219
92595,26118,2214,2025,2434,2666,4355,3951,2032,2213,2620,1608,33649,WORKHORSE,0.526618,0.048103,0.574721,5198.0,0.7761894855716366,0,0.047787452821777765
92596,22470,1343,1474,1724,2290,5644,3475,1843,1638,1762,1277,32256,WORKHORSE,0.523012,0.050785,0.573797,4865.0,0.6966145833333334,0,0.03958953373015873
92602,16700,953,664,1343,1427,4193,4324,1029,992,1130,645,23238,VOLVO,1.0,0.076055,1.0,11175.0,0.7186504862724847,1,0.027756261296152853
92603,14981,524,827,1171,1093,2644,2811,1824,1061,1947,1079,19558,VOLVO,0.881703,0.061492,0.943195,8271.0,0.7659781163718171,1,0.05516924020861029
92604,23400,1543,2400,1646,1712,3531,4077,1905,1842,2705,2039,28990,VOLVO,0.786739,0.049348,0.836087,10840.0,0.8071748878923767,1,0.07033459813728872
92606,20495,1451,2032,2147,2517,4023,3768,1392,1011,1197,957,26171,VOLVO,0.719373,0.046886,0.766259,8242.0,0.7831187191929999,1,0.036567192694203506
92610,12493,797,724,1070,1374,2815,2618,1277,635,919,264,16360,VOLVO,0.616636,0.038822,0.655458,4341.0,0.7636308068459657,0,0.01613691931540342
92612,30158,3050,7183,3301,2731,3684,3626,1601,1160,2103,1719,33234,VOLVO,0.705072,0.053822,0.758894,10471.0,0.9074441836673286,1,0.05172413793103448
92614,22128,1238,2089,2739,2456,4243,3516,1594,1604,1765,884,27187,VOLVO,0.855787,0.057951,0.913738,10475.0,0.8139184168904255,1,0.03251554051568765
92617,16230,6250,4778,1812,1013,846,556,167,389,278,141,17197,VOLVO,0.646042,0.032421,0.678463,5966.0,0.9437692620805954,0,0.008199104494970053
92618,38074,1905,1973,4949,6266,9428,6345,2066,1494,2376,1272,48997,VOLVO,0.983365,0.074395,1.0,19353.0,0.7770679837541073,1,0.025960773108557666
92620,40366,2313,2103,2857,3176,8515,9730,3561,2488,3505,2118,52569,VOLVO,0.955101,0.064127,1.0,22623.0,0.7678669938556945,1,0.04028990469668436
92624,5797,207,262,345,313,307,1369,759,705,865,665,6372,VOLVO,0.674538,0.063775,0.738313,1922.0,0.9097614563716259,1,0.10436283741368488
92625,10771,403,302,468,430,1237,1645,1122,1238,2155,1771,12394,VOLVO,0.708066,0.058936,0.767002,4833.0,0.8690495401000484,1,0.1428917218008714
92626,42247,2045,3736,5630,5233,6774,6952,3222,2397,3506,2752,50605,WORKHORSE,0.684794,0.048869,0.733663,13814.0,0.8348384546981523,1,0.05438197806540856
92627,50678,3035,3912,6149,5756,10528,8505,3588,2563,3891,2751,63161,WORKHORSE,0.633727,0.049013,0.68274,13435.0,0.8023622171909881,0,0.0435553585282057
92629,23103,1027,908,1243,1329,2942,4614,2214,2451,3825,2550,26877,VOLVO,0.670742,0.057154,0.727896,8483.0,0.8595825426944972,1,0.09487666034155598
92630,49417,2721,3521,5048,3833,7442,9273,4026,3882,5850,3821,59403,WORKHORSE,0.811791,0.052148,0.863939,20365.0,0.8318940120869316,1,0.06432335067252495
92637,16019,0,21,3,58,108,369,594,1582,4859,8425,16053,VOLVO,0.948047,0.064225,1.0,10681.0,0.9978820158225877,1,0.5248240204323179
92646,46765,2572,2767,2998,2853,6617,8813,4446,3858,6589,5252,55870,WORKHORSE,0.71379,0.041514,0.755304,18773.0,0.8370323966350457,1,0.09400393771254699
92647,50318,3150,4370,5529,4556,8018,9224,3653,3321,4735,3762,62199,WORKHORSE,0.658894,0.041785,0.700679,15725.0,0.8089840672679625,0,0.06048328751266097
92648,39079,1654,2059,3896,3364,5980,7492,3745,2899,5125,2865,46228,WORKHORSE,0.691131,0.049715,0.740846,14433.0,0.8453534654322056,1,0.0619754261486545
92649,29715,1328,1632,2671,2305,4132,4979,3085,2800,4056,2727,35278,VOLVO,0.689496,0.045159,0.734655,11388.0,0.8423096547423323,1,0.07730030047054821
92651,21484,1157,1004,975,776,2328,3911,2451,2405,3609,2868,24800,VOLVO,0.727246,0.069462,0.796708,9486.0,0.8662903225806452,1,0.11564516129032258
92653,24603,1457,1676,1898,1564,3941,4865,1875,2155,3082,2090,30012,VOLVO,0.763935,0.050889,0.814824,9940.0,0.8197720911635346,1,0.06963881114220978
92655,6227,417,314,487,461,988,1483,529,414,636,498,8382,VOLKSWAGEN,0.819664,0.065974,0.885638,2698.0,0.7429014554998807,1,0.05941302791696493
92656,41024,2584,2968,3330,3870,8141,8819,3793,2706,2809,2004,52268,VOLVO,0.74601,0.04724,0.79325,16380.0,0.7848779367873269,1,0.03834085865156501
92657,8030,299,290,478,354,1220,1662,909,797,1352,669,9802,VOLVO,0.873379,0.080812,0.954191,4306.0,0.8192205672311773,1,0.06825137726994492
92660,29021,1540,1673,1680,2257,3852,5327,2473,2303,4292,3624,35446,VOLVO,0.732123,0.061378,0.793501,12200.0,0.8187383625796987,1,0.10224002708345088
92661,3232,136,304,480,252,250,368,290,217,543,392,3445,VOLKSWAGEN,0.615452,0.047703,0.663155,1050.0,0.9381712626995646,0,0.11378809869375907
92662,2289,52,178,58,81,155,233,225,268,574,465,2519,VOLVO,0.720484,0.061744,0.782228,958.0,0.9086939261611751,1,0.18459706232631998
92663,19515,598,1737,2768,1619,2660,3275,1646,1344,2046,1822,21951,VOLVO,0.618201,0.051446,0.669647,5917.0,0.8890255569222358,0,0.08300305225274475
92672,29240,1418,2053,2593,2283,3846,4666,3031,2730,3802,2818,34218,VOLVO,0.642452,0.070375,0.712827,9107.0,0.8545210123326904,0,0.0823543164416389
92673,23540,1507,1228,1175,994,3820,4913,2538,2475,2890,2000,30768,VOLVO,0.64576,0.052541,0.698301,8548.0,0.765080603224129,0,0.06500260010400416
